x	y	showSelected1
-86.6	31.65	1960
-85.17	31.87	1961
-86.0422	32.3628	2012
-87.23	32.8	2000
-87.5778	33.6494	2010
-86.12	32.27	2000
-85.1671	32.4467	2009
-87.67	33.3	1997
-85.6386	34.7586	2010
-86.7436	33.6311	2011
-88.08	30.6	1980
-87.93	32.25	2003
-88.1997	30.2488	2011
-85.46	33.64	2008
-85.75	31.8	2004
-85.9	32.4	1958
-88	33.78	1973
-87.33	34.1	2005
-88.17	30.7	1999
-86.87	34.55	1970
-88.13	34.45	1957
-87.43	33.25	1997
-85.3	31.18	1956
-87.37	35	2004
-87.42	31.05	1961
-86.15	32.48	2007
-87.89	32.91	2008
-86.88	34.92	1958
-87.7	34.87	2004
-87.68	33.82	2005
-88.17	30.63	1967
-87.9	31.57	1953
-85.23	31.57	1992
-85.98	32.32	2005
-88.0842	33.566	2010
-86.73	34.33	1973
-85.77	32.15	2005
-86.27	33.75	1973
-86.37	33.27	1973
-88.18	33.1	2005
-85.3156	33.4215	2011
-86.62	31.63	1957
-86.23	34.52	2008
-86.89	34.29	2008
-87.7	34.7	1953
-85.9223	34.5944	2010
-87.2466	32.5748	2011
-85.93	34.3	1992
-85.5602	34.7436	2010
-85.57	33.99	2008
-87.4076	34.2318	2010
-85.48	31.32	1984
-86.7	34.3	1985
-87.55	33.43	1974
-86.44	34.85	2011
-86.77	33.47	1967
-86.13	31.58	1969
-87.53	34.6	1964
-85.7	32	1969
-87.13	34.57	2006
-86.8034	33.235	2009
-87.55	34.28	2005
-87.07	33.9	1998
-86.93	32.9	2000
-86.13	31.36	2012
-87.34	33.8	2008
-87.58	34.65	2006
-87.9181	35.0055	2011
-88.27	31.559	2011
-87.18	32.18	1996
-86.2	33.83	2000
-86.3628	34.4935	2011
-86.17	34.62	2001
-85.8	32.53	1984
-86.33	34.47	1957
-86.23	32.4	2001
-87.2	34.95	1965
-86.82	33.42	1975
-88	33.4	1967
-88.12	30.25	2008
-87.57	32.23	2004
-85.28	31.53	2000
-85.23	32.88	1974
-87.9816	32.1197	2011
-86.4	31.98	1964
-85.65	31.45	1998
-86.9669	34.5985	2009
-86.02	33.93	1983
-86.3	31.25	1999
-86.88	32.78	1967
-87.4	34.58	2006
-87.62	31.62	1996
-85.59	31.5	2007
-88.27	33.22	2008
-86.59	31.66	2007
-85.0994	32.3086	2009
-85.98	31.4	1975
-85.93	31.38	1998
-86.98	33.47	2005
-87.67	33.12	2000
-85.83	32.61	2006
-86.55	32.47	2004
-88.1	33.7	1998
-85.77	34.72	1996
-86.4059	32.7019	2011
-86.87	32.9	2007
-88.1639	32.6718	2012
-86.1761	34.442	2011
-88.2	31.56	2006
-87.9	33.17	2005
-85.9	31.69	2008
-88.07	30.82	1999
-85.992	32.9902	2011
-86.33	34.38	1957
-87.12	31.33	2003
-87.474	33.7182	2010
-86.25	31.28	1998
-86.12	33.6	1964
-85.67	33.87	2005
-85.7792	32.2628	2009
-85.28	32.47	2005
-87.58	31.62	1960
-86.77	33.13	1968
-86.72	32.52	1957
-85.4848	34.75	2010
-87.58	34.85	1967
-85.8	34.57	1992
-87.98	31.53	1972
-85.95	32.62	2001
-87.02	34.83	2003
-86	32.65	1976
-86.83	32.73	1998
-85.72	31.3	1984
-87.87	33.37	1952
-87.78	31.53	1996
-85.6	31.33	1997
-86.13	32.73	2005
-87.03	34.92	1958
-86.8	33.48	1969
-86.5	34.83	1967
-88.08	30.58	1979
-85.85	31.07	2000
-86.43	33	2000
-85.4	32.92	2006
-85.64	31.84	2006
-87.0461	31.1405	2009
-87.66	33.46	2008
-85.53	34.75	1988
-86.82	31.48	1957
-86.27	32.13	1957
-87.8415	32.0873	2012
-85.62	31.68	2004
-85.17	31.5	1973
-86.25	31.27	1997
-85.93	31.38	1998
-86.03	34.08	1998
-86.43	32.55	2000
-87.73	30.63	1977
-86.7213	34.1481	2010
-87.62	32.71	2006
-86.75	34.27	1983
-86.18	32.22	2000
-88.15	33.37	2005
-88.32	32.38	1984
-87.38	33.73	2008
-86.33	31.45	2001
-86.27	31.72	1998
-86.12	34.82	2004
-86.75	31.63	1983
-86.95	34.42	1953
-85.5241	34.7661	2011
-86.8124	34.919	2012
-85.18	32.82	1973
-86.73	34.7	2003
-86.47	32.73	1976
-86.35	33.91	2008
-88.1333	30.6717	2010
-87.07	33.52	2000
-87.02	32.57	2005
-88.27	30.88	1980
-86.47	34.58	1997
-85.63	34.57	2003
-86.18	33.55	2004
-85.94	32.69	2006
-85.2	32.65	2005
-85.5	34.2	1974
-87.1219	32.9053	2011
-85.8	32.6	1984
-85.87	31.32	2000
-87.65	34.83	1965
-88.2842	32.3645	2010
-86.0491	31.1087	2012
-86.37	34.95	1963
-87.42	31.07	1958
-86.12	34.02	1998
-86.65	34.25	2002
-85.67	34.15	1998
-87.5	34.85	1995
-87.15	34.28	1996
-86.48	32.47	1975
-85.75	33.53	1973
-86.15	33.95	1973
-86.4	31.95	2003
-87.5603	30.5497	2010
-86.2	31.85	1998
-87.42	34.73	1967
-85.9	34.28	1992
-85.82	31.68	1998
-88.25	31.47	1970
-86.38	33.33	1964
-86.3	32.55	1997
-86.5	35.02	2006
-87.54	32.87	2006
-84.66	32.83	2011
-86.52	34.92	2006
-87.92	34.89	2008
-87.68	34.6	1962
-87.28	34.85	1958
-85.33	33.5	1984
-85.47	31.23	1995
-88.25	30.78	2005
-87.1858	33.8436	2009
-86.63	33.38	1994
-86.94	33.59	2007
-85.54	31.97	2006
-88.17	32.82	1994
-86.1995	34.4426	2011
-87.2	33.42	1980
-86.33	33.25	2004
-88.17	30.55	1973
-88.23	31	1996
-87.11	34.15	2007
-85.6	33.02	2004
-86.67	33.85	2006
-87.72	31.67	1983
-85.32	31.88	2004
-85.88	32.43	2000
-87.15	34.98	2004
-86.57	34.73	1973
-87.6	32.47	1975
-87.78	30.63	1975
-86.249	34.222	2009
-87.12	32.95	1963
-87.6353	33.4802	2009
-86.65	33.93	1999
-85.1	31.15	1997
-87	33.5	1966
-86.7	34.37	1992
-86.67	34.78	1994
-87.739	30.557	2011
-86.02	34.25	1964
-85.8	32.52	2005
-87.2	31.27	1979
-85.93	33.62	1998
-86.07	34.33	1973
-86.4916	34.8233	2011
-87.82	34.13	1989
-85.67	31.9	2007
-85.58	34.7	1965
-86.7006	34.7797	2011
-86.92	34.23	2003
-85.52	33.57	1984
-88.05	34.05	1989
-88.05	32.5	1967
-85.18	32.22	1966
-86.17	33.35	2004
-87.57	34.25	2006
-86.9307	32.8796	2011
-88.05	31.53	1988
-87.18	31.33	1984
-87.68	30.42	2001
-88.35	30.82	1997
-85.74	32.83	2007
-86.62	34.37	2008
-87.67	30.48	1999
-87.12	34.05	1973
-88.0055	31.2751	2009
-85.6	34.42	2005
-88.1	33.28	1998
-85.92	34.62	1973
-85.83	32.63	2005
-86.47	33.95	2006
-87.03	34	1973
-87.47	34.93	1999
-86.9781	34.8712	2011
-87.42	34.1	1999
-86.86	34.05	2008
-88.0732	33.2689	2009
-84.93	32.37	1954
-87.17	33.42	2000
-87.08	32.17	1972
-85.73	33.25	1988
-86.78	34.2	1962
-87.04	31.33	2007
-87.3	31.82	2007
-85.5799	34.8431	2011
-85.33	31.42	1998
-85.78	31.38	2007
-87.1	34.73	1997
-86.9	33.58	1990
-88.15	33.15	2005
-86.9042	34.2968	2011
-87.5	33.32	1990
-85.37	31.23	1975
-85.87	34.5	1999
-86.329	34.3273	2011
-88.232	31.097	2011
-86.98	33.75	2007
-87.43	33.83	1963
-85.93	34.47	1999
-86.73	32.93	2000
-87.7636	32.6236	2010
-87.68	30.28	1980
-88.2	32	1958
-86.586	33.2027	2011
-86.22	32.25	2004
-86.37	34.03	1998
-85.47	34.15	2002
-87.93	33.99	2008
-86.97	33.4	2002
-86.33	33.92	2002
-87.27	34.27	1996
-87.2	34.83	2003
-87	31.77	1971
-87.41	33.74	2008
-86.77	34.25	1988
-88.13	33.9	1957
-85.78	31.32	1955
-86.55	31.35	2001
-87.879	33.717	2009
-88.1	32.22	1964
-85.98	31.38	1980
-87.23	32.43	1998
-85.42	33.97	1993
-87.58	32.78	2006
-85.47	31.48	1998
-87.83	33.33	2008
-85.67	34.53	1952
-87.08	33.87	2008
-87.53	34.3	1989
-86.2	34.28	1985
-87.27	31	1985
-86.7	31.53	1973
-88.07	30.82	1977
-85.5	35.07	2011
-88.4	31.58	1996
-87.18	32.55	2000
-87.17	34.75	2000
-87.72	33.42	2005
-85.08	31.93	1954
-86.87	34.1	1985
-87.88	33.17	2005
-86.47	31.35	1998
-87.9086	35.0081	2011
-88.1	30.43	2004
-86.8844	32.4304	2011
-85.7	33.7	2008
-88.35	30.78	1974
-86.25	34.35	1981
-86.05	33.93	1999
-86.365	34.9915	2011
-86.18	34.58	1973
-86.1511	35.0857	2011
-88.25	30.78	2002
-86.93	33.6	1952
-86.75	34.59	2008
-86.23	31.78	1998
-85.6679	31.1275	2012
-87.43	31.42	1973
-85.83	32.05	1998
-88.3091	30.8293	2012
-87.84	32.53	2006
-85.2	31.13	1989
-86.68	34.97	1976
-85.02	32.35	1954
-86.37	33.27	2006
-86	33.23	2003
-85.57	33.62	1996
-86.6351	32.8553	2010
-86.22	32.72	2005
-86.65	32.85	1996
-85.92	31.17	1992
-86.3	32.38	1996
-86.63	34.68	1952
-88.25	31.7	1996
-85.5738	31.0824	2012
-88.1835	32.8917	2011
-86.08	33.03	1973
-87.018	31.755	2011
-86.3	34.03	2001
-86.3	32.07	1957
-87.82	31.63	1957
-86.52	34.45	2001
-86.4	32.25	1957
-86.53	31.85	1957
-87.6526	33.3305	2012
-86.55	34.02	2001
-85.68	33.18	1981
-85.08	32.08	1983
-85.5372	32.5936	2009
-87.8	33.3	1998
-86.7853	34.6563	2009
-86.12	34.12	1980
-85.35	33.22	2000
-84.98	32.48	1978
-85.2	31.8	1964
-85.29	31.75	2008
-86.77	31.65	2007
-86.67	34.07	1952
-86.38	32.8	1973
-86.03	34.33	1964
-86.62	31.4	2001
-87.62	33.8	2000
-85.98	31.83	1958
-85.75	31.83	1974
-85.78	33.75	1962
-88.1299	33.0604	2011
-85.43	34.03	1994
-87.97	31.75	1996
-87.037	34.372	2010
-86.22	32.6	1998
-86.7	31.88	1997
-87.52	34.7	2006
-86.97	33.77	2005
-85.85	33.63	1967
-86.2416	34.4411	2011
-86.7	34.2	1951
-86.9161	33.1223	2011
-86.994	34.953	2009
-88.17	32.1	2000
-85.85	31.37	1959
-85.98	32.62	1999
-86.55	34.18	1963
-86.88	34.66	2008
-85.28	33.42	1984
-88.22	33.48	2002
-86.48	31.83	1995
-86.57	34.9	2008
-87.52	31.08	1971
-87.08	33.73	2002
-87.7683	34.0201	2010
-88.03	31.48	1969
-88.15	33.73	1995
-85.7754	34.5561	2009
-85.08	31.13	2008
-86.95	34.1	2008
-87.75	30.67	1998
-86.28	33.2	2001
-85.83	34.48	1973
-86.82	34.28	1966
-87.1582	34.7885	2011
-86.75	33.3	1973
-86.9605	34.7185	2009
-86.9	34.15	1957
-85.71	31.33	2008
-84.63	34.17	1974
-87.1728	33.7615	2009
-87.8	30.7	1969
-86.7534	34.8197	2011
-87.7	31.92	1996
-86.05	34.2	1985
-86.8938	33.9017	2009
-88.02	34.73	1955
-88.0707	30.7442	2012
-87.65	34.73	2006
-85.35	33.47	1984
-86.97	34.8	1997
-87.6	34.87	2006
-87.03	31.28	2004
-87.77	33.1	2005
-87.22	34.09	2008
-86.3073	32.7225	2011
-85.76	33.15	2008
-87.82	33.83	1983
-86.82	33.65	1966
-86.3	32.53	1995
-87.4912	32.8335	2010
-87.5	34.3	1963
-86.75	33.9	1973
-87.1405	33.529	2012
-87.28	33.28	1975
-86.62	33.88	2006
-86.2	33.95	2002
-88.27	32.95	1992
-88.06	30.74	2012
-86.25	34.82	1982
-86.92	33.42	1980
-87.638	33.443	2009
-87	34.63	1958
-86.65	33.03	1954
-85.79	31.54	2009
-87.0254	34.7719	2011
-88.1261	30.4769	2011
-87.08	34.88	2006
-87.75	30.62	1995
-86.4298	34.8723	2011
-86.39	33.65	2008
-86.9617	34.7363	2011
-85.12	32.47	1998
-85.5863	31.0856	2012
-86.5	34.33	2006
-85.95	34.75	2003
-88.23	30.68	2000
-87.3047	34.5111	2009
-88.2905	31.2098	2012
-86.57	34.83	2002
-86.1827	31.3124	2012
-85.83	33.6	1985
-86.7471	32.5132	2011
-86.87	34.25	2001
-85.47	32.73	2005
-87.45	30.4	1975
-87.88	30.6	1970
-86.2564	34.4923	2011
-85.82	34.45	2001
-85.37	31.23	1980
-87.67	33.37	2005
-85.95	31.8	2004
-86.38	32.25	2003
-86.82	33.52	1996
-87.54	32.66	2007
-85.57	34.42	2005
-88.22	30.5	1987
-86.71	34.24	2008
-86.73	31.67	1964
-86.43	35	1974
-86.3	31.25	1998
-86.12	33.6	1964
-86.2	33.25	1984
-86	35.5	1974
-86.68	33.68	1979
-86.48	31.3	1999
-87.5262	34.6221	2009
-86.22	34.27	1974
-87.4	30.52	2004
-88.1	30.23	2004
-87	34.23	1983
-85.1173	32.697	2011
-86.97	32.43	1984
-86.97	33.57	1978
-85.53	33.5	1984
-85.47	31.48	1997
-86.3	32.38	1996
-87.3605	32.9047	2011
-87.08	34.62	2001
-85.37	32.65	1997
-85.2666	34.9531	2011
-85.9	31.87	2000
-85.6377	34.9854	2011
-88.1	33.42	1963
-86.63	33.75	1960
-86.9274	33.156	2011
-86.65	34.72	1985
-86.7	33.48	2000
-87.52	30.37	1962
-87.9	33.7	1962
-86.48	33.95	1974
-85.28	32.45	1954
-86.13	33.63	2001
-87.18	31.33	2002
-87.12	34.85	2003
-86.32	34.27	1995
-87.6	34.25	1995
-86	34.4	1995
-86.42	31.35	1998
-87.45	33.65	2002
-86.5	34.95	1970
-85.1175	32.5967	2009
-86.14	31.233	2012
-85.23	31.18	1998
-85.5348	31.1631	2012
-84.9987	32.4651	2009
-87.0833	34.5443	2009
-87.32	33.33	1993
-85.3	31.37	1957
-86.75	33.48	1963
-87.0988	33.9079	2009
-86.39	32.03	2007
-85.58	31.4	2001
-87.28	32.52	1979
-86.3	32.38	1996
-86.43	33.57	2003
-88.1	33.87	1985
-87.13	32.08	2003
-85.82	31.7	2001
-86.534	34.4626	2009
-87.5242	32.4714	2011
-85.58	33.75	2003
-85.97	33	1996
-87.73	33.89	2007
-87.85	31.9	2006
-86.58	34.88	1997
-87.95	34.17	1963
-86.45	32.5	1999
-84.83	33.47	1989
-85.98	32.62	1999
-87.18	32.92	1984
-85.4	32.33	2007
-86.97	33.22	1983
-88.1	34.6	1963
-88.12	30.25	2007
-87.77	34.22	1995
-84.83	32.5	1978
-86.9	32.55	1983
-87.06	34.56	2008
-85.8	33.63	1983
-85.36	31.87	2008
-87.87	34.84	2008
-86.75	34.92	1982
-88.2892	32.1231	2012
-87.62	33.62	1952
-86.023	31.8547	2012
-88.204	30.5679	2011
-86.73	34.18	1985
-88.368	30.549	2011
-85.92	34.63	1977
-85.97	33.93	1977
-86.48	34.32	1964
-86.7369	34.7971	2011
-87.22	32.45	2003
-85.7	31.32	2001
-86.6338	33.451	2009
-87.05	34.47	1978
-87.67	33.38	2001
-87.6	34.23	2001
-87.4739	31.8868	2012
-87.23	33.01	2007
-86.42	31.4	2005
-85.58	31.66	2007
-87.9	32.23	2001
-86.9533	33.3089	2012
-86.2486	34.3231	2011
-88.12	30.7	1953
-88.1	30.85	1950
-87.8	33.95	1982
-87.9	31	1974
-86.43	34.55	2001
-87.58	33.33	1998
-85.78	33.2	2004
-85.97	32.3	2004
-85.37	31.23	1981
-88.21	30.45	2007
-88	33.18	1957
-86.63	31.58	1957
-86.51	32.29	2007
-87.29	34.85	2008
-85.7	32.82	1975
-86.28	34.25	2002
-85.5496	34.6519	2011
-85.65	34.4	2005
-85.73	31.81	2008
-87	31.67	1985
-87.385	34.8911	2011
-87.68	31.05	1966
-86.12	31.88	2001
-86.8205	32.0661	2012
-85.2916	33.0114	2011
-86.33	31.52	1980
-86.927	34.8628	2012
-86.2152	33.3548	2011
-86.55	34.85	2003
-86.33	31	1985
-87.3302	34.3381	2011
-86.77	34.2	1965
-86.4796	34.9248	2011
-86.5	32.17	1979
-86.22	32.52	1979
-88.32	31.87	2001
-85.8	32.52	2005
-86.82	34.13	1970
-87.6784	31.4817	2011
-85.57	32.43	1984
-85.77	33.77	1982
-85.8056	34.7117	2009
-85.28	32.68	1980
-88.15	33.57	2002
-86.22	34.27	2006
-87.27	34.68	1978
-88.05	30.73	1973
-85.92	31.17	2004
-85.7	31.33	1973
-85.47	31.17	1998
-85.6858	32.6257	2009
-88.23	31.1	1975
-85.73	31.38	1972
-88.25	33.4	2002
-86.86	34.24	2008
-86.3	31.7	1957
-87.88	30.42	2002
-86.3092	33.4483	2011
-85.97	32.92	1952
-86.32	34.6	1992
-86.77	33.58	1979
-87.5462	33.6943	2011
-85.77	31.57	2009
-87.868	34.833	2011
-87.6	32.92	1973
-87.9699	33.4445	2011
-85.47	31.87	1980
-86.82	33.42	1959
-87.57	30.28	1985
-87.08	33.28	2001
-87.4	32.57	1996
-86.43	31.08	2005
-85.75	31.23	1997
-87.37	32.1	2003
-87.07	31.12	1968
-86.47	33.77	1976
-85.87	33.68	1967
-86.3215	34.2989	2011
-85.92	34.78	2003
-86.22	34.53	1996
-85.6	33.92	1954
-85.95	32.48	2005
-87.23	34.73	1988
-88.03	31.07	1980
-86.05	30.98	1974
-87.42	33.37	1966
-87.53	34.38	1971
-86.6	31.65	1960
-87.1	32.4	1959
-88.2312	32.9316	2012
-85.33	32.62	2004
-86.52	33.23	1957
-86.35	33.42	1970
-86.75	31.63	2002
-86.2303	31.7937	2012
-86.69	32.28	2008
-87.68	30.42	2001
-85.88	34.7	2003
-86.25	33.63	1998
-88.2	30.6	1973
-85.8	33.82	2001
-85.9348	32.1617	2009
-86.3	33.6	2003
-87.7	33.3	1974
-87.42	31.03	1972
-85.2	34.17	1963
-86.23	31.07	1975
-87.78	30.23	1985
-86.665	34.777	2009
-86.5115	32.3133	2012
-86.77	33.62	1990
-86.92	33.2	1959
-86.6733	32.1574	2012
-84.99	34.19	2011
-87.62	33	2001
-87.551	32.5614	2009
-86.26	33.55	2008
-86.55	32.42	2005
-86.37	31.5	2005
-87.67	32.87	2000
-86.4136	34.6136	2009
-86.3994	34.9483	2012
-86.2407	34.9916	2012
-85.58	32.8	2005
-87	33.02	1980
-87.68	30.28	2001
-86.87	34.1	2001
-85.95	33.1	2008
-85.28	33.35	2008
-85.95	33.6	2000
-85.58	32.9	1963
-87.83	34.02	1973
-86.37	32.58	2008
-87.7	33.32	2005
-86.87	33.58	1998
-85.7382	34.7237	2011
-85.97	34.4	1998
-86.23	33.62	2001
-85.1651	31.56	2011
-87.18	31.65	1996
-87.23	32.95	2007
-86.83	31.5	1964
-86.32	32.63	1979
-85.4	31.2	1957
-88.0468	33.6781	2009
-85.28	33.4	1974
-86.7727	34.936	2011
-85.5578	34.7333	2011
-86.8268	33.542	2012
-85.7473	31.6664	2012
-86.1795	33.6651	2009
-86.35	31.02	2005
-87.53	34.42	1974
-86.58	31.47	2008
-86.53	33.72	1971
-87.22	31.63	1960
-88.0689	32.3763	2011
-87.65	32.63	2001
-88.18	33.65	2004
-85.27	31.13	1961
-86.3329	32.5546	2011
-86.35	32.2	1963
-85.93	32.55	2005
-86.25	33.08	1996
-85.2573	33.2332	2009
-85.661	34.5658	2009
-86.2433	34.9904	2012
-87.53	30.33	1967
-87.5855	32.7717	2009
-86.6167	33.3501	2009
-85.05	32.14	2008
-83.97	32.76	2008
-87.95	34.1	2004
-87.88	34.12	1986
-85.72	31.3	1997
-87.18	34.2	1964
-87.67	34.7	1999
-86.4	34.9	1961
-86.2091	33.3219	2012
-88.32	30.68	2002
-85.33	31.83	1972
-87.3571	34.4309	2009
-86.02	33.37	2001
-84.88	31.47	2002
-87.07	31.12	2001
-87.97	34.75	2006
-87.57	33.96	2008
-86	34.77	2008
-87.67	34.6	1957
-87.83	32	1979
-85.22	31.17	1984
-85.93	33.52	2003
-88.17	30.7	1978
-86.6493	33.498	2011
-87.8	32.3	2006
-88.22	32.08	2001
-86.6117	34.7303	2009
-86.17	34.17	1975
-86.08	32.38	1996
-86.97	32.5	1996
-88.27	30.5	1960
-86.4282	32.1965	2011
-84.6	32.87	1954
-86.3705	34.3324	2011
-85.98	34.51	2007
-86.33	31.28	2005
-86.32	32.63	1982
-85.75	31.65	1989
-85.77	31.6	1994
-86.45	34.6	1986
-88.02	30.23	1999
-85.73	34.12	2000
-85.68	33.59	2008
-85.98	32.18	1957
-85.77	31.32	2006
-87.73	31.92	1971
-87.68	32.27	1983
-86.4	32.6	1982
-87.2931	32.6767	2009
-87.6892	33.8683	2011
-87.68	30.28	1999
-87.28	33.83	1992
-87.52	32.67	1973
-86.5886	32.7657	2012
-86.3437	32.5309	2012
-87.12	33.48	2008
-86.45	33.18	2003
-87.3	33.93	1957
-87.48	30.52	2004
-85.72	32.1	1998
-86.83	34.27	1964
-85.35	33.67	1974
-85.72	33.35	1985
-87.6992	33.2895	2009
-87.09	34.59	2007
-86.47	34.58	2004
-87.47	33.25	1977
-87.17	31.28	1970
-86.7	34.27	1974
-86.65	33.4	2008
-88	30.65	1957
-86.043	34.4629	2011
-86.4631	32.6634	2011
-86.88	33.22	1997
-88.08	30.7	1980
-88.12	33.75	2005
-87.4968	34.3039	2011
-86.38	33.77	2001
-85.93	33.07	2008
-86.42	33.79	2008
-85.83	33.65	2004
-87.9	30.6	1974
-87.9	30.52	2004
-87.87	31.97	2002
-86.4269	32.6126	2011
-86.78	33.32	2004
-86.17	31.67	1998
-85.28	32.02	2006
-85.27	31.4	2006
-85.523	32.9196	2011
-86.32	33.02	1978
-87.68	30.28	2002
-87.68	30.28	2002
-87.62	32.67	2005
-86.98	34.9	1994
-84.9565	32.4745	2009
-86.22	32.52	1992
-86.95	33.01	2007
-85.9565	31.8844	2012
-85.88	32.22	1969
-85.625	34.4427	2011
-86.8	34.78	1994
-86.5	31.2	1974
-87.07	33.63	1985
-85.88	31.03	1977
-87.78	30.4	1967
-87.85	33.93	2008
-87.55	33.9	1961
-87.5	31.03	2005
-85.55	33.12	1992
-86.48	34.67	1967
-87.33	31.52	2002
-85.3658	33.0084	2011
-86.2323	34.3114	2011
-86.4479	32.705	2011
-87.9	30.52	2000
-88.02	31.18	2002
-87.32	34.9	1964
